z1,z2,z3,z4,z5,z6,z7,z8,f1,f2,f3,f4,f5,f6
5.507979026,0.685499183,5.280051952,2.510925372,3.029459472,2.811856248,6.170216233,8.801132759,197.6071034,178.9636,-2.805894865,2.52426935,94.07226946,-0.926765388
7.081478226,0.764962823,6.733596406,2.37825622,1.940245024,3.35422457,7.844312336,1.34081802,180.0763274,202.4799199,102.8916388,-86.41923341,99.75716317,0.943460243
2.909047389,5.38792658,7.453658451,2.677671825,9.683566279,3.175543223,3.461612943,2.483986611,222.2277445,117.0378887,-29.69393485,52.37234941,90.48601194,-0.680258559
5.108276052,0.755664045,7.29973742,2.631899264,0.794502973,5.6551063,1.026451283,8.800815358,197.9979879,169.4650559,123.9275631,-44.91648487,111.6185305,0.99810269
8.929469543,1.83772318,4.241159003,9.727154867,7.85492459,6.554340203,3.612270728,5.266983866,341.166459,230.1510472,-140.4049903,3.307183761,108.5549249,-0.855042644
8.962930889,4.363570842,4.559523311,7.911612519,9.472829243,8.448146224,7.880882362,4.117323634,422.9240753,232.2305865,-271.1384416,-7.465816615,94.13760089,0.710376173
1.255853105,4.97782831,8.735071015,8.909107316,7.180685134,3.798983453,4.695309499,3.007269104,279.1137135,34.69464921,-345.8440172,123.2424331,22.80169466,0.987057004
2.072428781,5.833119152,3.627879226,7.13502895,5.744431269,9.379950355,0.201444581,2.173279987,228.136071,81.05014276,51.15738586,9.493080647,92.45917006,0.926629948
0.514672033,6.205126814,7.38032831,3.466617384,3.68953475,3.810670301,6.986054212,1.773744087,185.3401645,-56.19485375,37.33722407,60.38957786,56.71802816,-0.969084612
4.408098437,3.728114996,9.940672317,9.418534224,2.95525094,4.233452556,2.656199472,4.513492538,274.9385655,159.2101262,-85.3729641,-92.3665533,64.10229356,0.643437655
0.298762109,6.18736583,9.248083835,4.844551495,0.670960513,4.142616424,5.492183989,5.002426266,220.1693009,-110.8504524,72.59601753,138.2397349,80.03865023,-0.495579955
4.568332244,1.572446584,5.492368678,1.854349398,3.788741937,7.646616511,4.257513645,0.856533712,148.6323551,159.3484675,67.79302418,-51.55159708,81.05556244,-0.112873031
6.491440476,2.755084754,3.051113869,7.294992196,5.029234253,7.377909134,1.963466475,7.341111482,249.7293572,197.4465488,-4.32490735,-34.16561544,102.1713458,-0.812572469
2.784872826,7.987182706,6.223126359,2.593050949,2.48805917,4.223454843,3.948438415,0.903019628,157.4354387,110.9026321,57.74053942,-98.01373692,57.01621834,0.370696624
6.76254902,1.530893007,6.843016682,8.227854123,9.696163713,3.426399195,2.674288551,1.406708564,277.4866139,200.4247707,-302.0352197,-32.61795547,35.81455234,0.989833247
5.908628174,2.233229729,5.269622549,7.404789155,9.985466075,0.824605998,5.383622227,8.899937881,331.0808165,188.0865898,-124.4572426,88.78053639,120.872675,0.915183874
0.239818824,2.429781797,3.414766308,2.902003159,2.894810934,2.538037742,1.497545762,3.748708743,57.1606304,-135.8862923,13.06041999,16.90036142,-12.19122012,0.4916372
5.58854088,4.795073048,4.554265713,4.596428554,6.002520562,0.755257551,9.976496239,1.298005616,233.9089692,180.7532997,44.88089606,62.83513209,130.5945743,0.650311783
2.592524469,0.00745522,0.81790743,7.150973217,8.827860338,3.325955384,8.289642515,3.924035486,231.6359541,98.9924086,71.77509916,-19.48061877,95.73071077,-0.039237888
4.15101197,0.303113605,2.91282205,6.680154645,5.837096756,1.893913807,7.284947896,1.700002951,164.0508605,149.0291505,24.50053304,17.20245143,88.69574888,-0.940531433
2.835250818,4.615481516,1.44896755,5.265784642,3.518651082,6.458065118,2.509106976,1.195784672,120.982341,111.9966751,48.58664349,47.18147424,82.18678345,-0.650962562
6.931379183,1.625206849,6.664807308,2.141429224,8.458700138,7.462677238,9.532041691,9.828021237,414.3816701,205.4348369,-427.9844246,-11.06705015,45.19125804,0.987373572
4.404537177,6.795018038,9.592341415,3.243929978,5.287274455,4.885125355,9.734339973,0.850554417,315.4088518,158.9827497,50.58071263,13.05209807,134.506103,-0.921512009
1.568677385,7.952045872,1.572346831,6.947930845,6.192721198,4.825381318,1.175829603,7.440417135,234.818283,55.05389108,100.0015243,-73.15344124,79.18006427,0.980300462
5.44649018,5.781633587,0.282940719,4.569830827,7.569408526,3.445593591,2.520083052,4.503456405,179.8549503,177.1991325,67.98421874,45.47883018,117.6292829,0.005282769
