z1,z2,z3,z4,z5,z6,z7,z8,f1,f2,f3,f4,f5,AE1_latent_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,-74.16674831991416,1.25,49.48079185090459,0.9890306341764632,4.166663
0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,2.400141410570441,-64.4093928470023,1.4714434778371543,59.10741868998139,0.8539928672208689,4.145318
0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,2.836746546804373,-55.46792946397581,1.7052553048315235,69.44180257632794,0.6741047979857907,4.123973
0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,3.309815408701801,-47.21637800612167,1.9501299330165132,80.40491865152389,0.508237883596294,4.1026278
0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,3.81934799626272,-39.555857115111735,2.204761814425528,91.89757231928692,0.3706996193494387,4.0812826
0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,4.365344309487134,-32.4073294601959,2.467845401091973,103.79784657898806,0.2608335999640775,4.059937
0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,4.947804348375041,-25.706623177638438,2.7380751450492533,115.95875271985592,0.1739992408901714,4.038592
0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,5.566728112926442,-19.400922891370563,3.014145498330774,128.2062313972176,0.1052319902526935,4.0172462
0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,6.222115603141334,-13.446238654587196,3.2947509129699406,140.337676132143,0.0502747032883478,3.995901
0.92964824120603,0.92964824120603,0.92964824120603,0.92964824120603,0.92964824120603,0.92964824120603,0.92964824120603,0.92964824120603,6.913966819019721,-7.805542962139941,3.578585841000158,152.12117536889556,0.0057262211819806,3.974556
0.9773869346733668,0.9773869346733668,0.9773869346733668,0.9773869346733668,0.9773869346733668,0.9773869346733668,0.9773869346733668,0.9773869346733668,7.642281760561601,-2.4473747982610847,3.864344734454829,163.29569057003098,-0.0310724437198246,3.9532108
