z1,z2,z3,z4,z5,z6,z7,z8,f1,f2,f3,f4,f5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,-74.16674831991416,1.25,49.48079185090459,-21.435956469009575
0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,0.5477386934673367,2.400141410570441,-64.4093928470023,1.4714434778371543,59.10741868998139,-1.430389268613311
0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,0.5954773869346733,2.8367465468043735,-55.467929463975814,1.7052553048315235,69.44180257632794,18.515874963988026
0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,0.6432160804020101,3.309815408701801,-47.216378006121666,1.9501299330165134,80.40491865152389,38.448485987120534
0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,0.6909547738693467,3.8193479962627204,-39.555857115111735,2.204761814425528,91.89757231928691,58.365825014863425
0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,0.7386934673366834,4.365344309487134,-32.4073294601959,2.467845401091973,103.79784657898806,78.22370682937127
0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,0.7864321608040201,4.947804348375041,-25.706623177638434,2.7380751450492533,115.95875271985592,97.93800903564178
0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,0.8341708542713568,5.566728112926442,-19.400922891370563,3.014145498330774,128.2062313972176,117.38618211710425
0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,0.8819095477386935,6.222115603141334,-13.446238654587196,3.2947509129699406,140.337676132143,136.4083039936671
0.9296482412060301,0.9296482412060301,0.9296482412060301,0.9296482412060301,0.9296482412060301,0.9296482412060301,0.9296482412060301,0.9296482412060301,6.913966819019721,-7.805542962139941,3.578585841000158,152.12117536889556,154.8081850667755
